priority,relationship,company_name,company_number,avatar,avatar_reason,trade_or_sic,region,incorporated,accounts_filing_category,registered_address,postcode,companies_house_url,source,notes
1 — WARM (contact first),warm — existing KEYIS supply chain,360 Fire Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,4Way Electrical Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,758863 Ltd T/A Aquaclean,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Commissioning & Water Treatment,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,A I Joinery and Shopfitting LTD,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Building/Civils,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,ABM  Energy Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Piped Services,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,AC AOV Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Ductwork & Ancillaries,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,ADI Automotive Services,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Control Panels/ BMS,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,ADI Fire and Security Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,ADT Fire & Security PLC,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,AES Controls,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,AF Switchgear,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Switchgear,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,AFS Holdings Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,AMG Contracts Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Groundworkers/Civils,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,APS Projects Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Joinery,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Aaron Access Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Adexsi UK Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Ductwork/ Ventilation,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Advanced Fire Solutions Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Aggreko UK Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Air Supply Manchester,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Compressed Air/Gases,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Aldrock,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Design / Consultants,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,All Counties HVAC Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Commissioning,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Allangate Mechanical Services Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Piped Services,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
