company_name,company_number,avatar,avatar_reason,company_type,pecr_status,incorporated,accounts_filing_category,size_proxy_note,sic_codes,registered_address,postcode,companies_house_url,email,email_source,lawful_basis,source,retrieved_at
LEADWOOD ENGINEERING LTD,12429234,A_CEILING_HIT,"established 2020, total-exemption-full filer",ltd,corporate subscriber,2020-01-28,total-exemption-full,"accounts category, NOT turnover",43220,"Desai & Co Northside House, Mount Pleasant, Barnet",EN4 9EB,https://find-and-update.company-information.service.gov.uk/company/12429234,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:29+00:00
GAS SMART HEATING & PLUMBING SERVICES LTD,09739023,A_CEILING_HIT,"established 2015, total-exemption-full filer",ltd,corporate subscriber,2015-08-19,total-exemption-full,"accounts category, NOT turnover",43220,"Turnpike House, 1208-1210 London Road, Leigh On Sea, Essex",SS9 2UA,https://find-and-update.company-information.service.gov.uk/company/09739023,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:29+00:00
777 PLUMBING LIMITED,07822646,A_CEILING_HIT,"established 2011, unaudited-abridged filer",ltd,corporate subscriber,2011-10-25,unaudited-abridged,"accounts category, NOT turnover",43220,"1453 High Road, London",N20 9PH,https://find-and-update.company-information.service.gov.uk/company/07822646,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:30+00:00
PROVISION ELECTRIC’S LTD,12098003,A_CEILING_HIT,"established 2019, unaudited-abridged filer",ltd,corporate subscriber,2019-07-11,unaudited-abridged,"accounts category, NOT turnover",43210; 61900,"Blackboys, Roses Lane, Windsor",SL4 4JU,https://find-and-update.company-information.service.gov.uk/company/12098003,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:32+00:00
REDBURN MECHANICAL SERVICES LTD,08075384,A_CEILING_HIT,"established 2012, total-exemption-full filer",ltd,corporate subscriber,2012-05-18,total-exemption-full,"accounts category, NOT turnover",43220,"24 Pemerton Road, Winchester",SO22 6EU,https://find-and-update.company-information.service.gov.uk/company/08075384,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:33+00:00
WN NETWORKS LTD,12013809,A_CEILING_HIT,"established 2019, total-exemption-full filer",ltd,corporate subscriber,2019-05-23,total-exemption-full,"accounts category, NOT turnover",43210,"68 Holgate Road, Sheffield",S5 9LG,https://find-and-update.company-information.service.gov.uk/company/12013809,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:35+00:00
HHS ELECTRICAL LIMITED,11804301,A_CEILING_HIT,"established 2019, total-exemption-full filer",ltd,corporate subscriber,2019-02-04,total-exemption-full,"accounts category, NOT turnover",43210,"102 Newthorpe Common, Newthorpe, Nottingham",NG16 2EH,https://find-and-update.company-information.service.gov.uk/company/11804301,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:36+00:00
CP 24 INSTALLATIONS LIMITED,SC342355,A_CEILING_HIT,"established 2008, unaudited-abridged filer",ltd,corporate subscriber,2008-05-06,unaudited-abridged,"accounts category, NOT turnover",43220,"7 Agnew Grove, Bellshill, Lanarkshire",ML4 3NE,https://find-and-update.company-information.service.gov.uk/company/SC342355,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:36+00:00
PRIME SEAL LIMITED,SC622470,A_CEILING_HIT,"established 2019, total-exemption-full filer",ltd,corporate subscriber,2019-02-26,total-exemption-full,"accounts category, NOT turnover",43290,"249 Govan Road, Glasgow",G51 1HJ,https://find-and-update.company-information.service.gov.uk/company/SC622470,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:41+00:00
KANE HEATING AND PLUMBING LIMITED,SC631278,A_CEILING_HIT,"established 2019, total-exemption-full filer",ltd,corporate subscriber,2019-05-23,total-exemption-full,"accounts category, NOT turnover",43220,"9 Cockhill Way, Bellshill",ML4 3LN,https://find-and-update.company-information.service.gov.uk/company/SC631278,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:42+00:00
AV LOGIC SOLUTIONS LTD,12457037,A_CEILING_HIT,"established 2020, total-exemption-full filer",ltd,corporate subscriber,2020-02-11,total-exemption-full,"accounts category, NOT turnover",43220; 43390,"99a Cobbold Road, London",NW10 9SL,https://find-and-update.company-information.service.gov.uk/company/12457037,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:43+00:00
HILLTOP PLUMBING LTD,12396053,A_CEILING_HIT,"established 2020, total-exemption-full filer",ltd,corporate subscriber,2020-01-10,total-exemption-full,"accounts category, NOT turnover",43220,"2 Abbot Ridge, Long Crendon, Aylesbury",HP18 9AZ,https://find-and-update.company-information.service.gov.uk/company/12396053,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:44+00:00
LAJ ELECTRICAL LIMITED,10108876,A_CEILING_HIT,"established 2016, total-exemption-full filer",ltd,corporate subscriber,2016-04-07,total-exemption-full,"accounts category, NOT turnover",43210,"Flat 1 Temple Street, Llandrindod Wells",LD1 5HF,https://find-and-update.company-information.service.gov.uk/company/10108876,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:47+00:00
MY TRADE WARRIORS LIMITED,11934416,A_CEILING_HIT,"established 2019, total-exemption-full filer",ltd,corporate subscriber,2019-04-09,total-exemption-full,"accounts category, NOT turnover",43290; 43390,"C/O Pearl Accounting Limited Suite 1, 116 Ballards Lane, Finchley, London",N3 2DN,https://find-and-update.company-information.service.gov.uk/company/11934416,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:48+00:00
SWF (SUNDERLAND) LIMITED,11991328,A_CEILING_HIT,"established 2019, total-exemption-full filer",ltd,corporate subscriber,2019-05-13,total-exemption-full,"accounts category, NOT turnover",43290,"10 Hilltop Gardens New Silkworth, Sunderland",SR3 2AS,https://find-and-update.company-information.service.gov.uk/company/11991328,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:51+00:00
ROBERTS CONTRACTING LTD,08449561,A_CEILING_HIT,"established 2013, total-exemption-full filer",ltd,corporate subscriber,2013-03-18,total-exemption-full,"accounts category, NOT turnover",43210,"18 St. Marys Crescent, Ruddington, Nottingham",NG11 6FQ,https://find-and-update.company-information.service.gov.uk/company/08449561,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:52+00:00
GBC ELECTRICAL ENGINEERING LIMITED,05793769,A_CEILING_HIT,"established 2006, total-exemption-full filer",ltd,corporate subscriber,2006-04-25,total-exemption-full,"accounts category, NOT turnover",43210,"Dellgrove Lodge 6 Healey Grove, Whitworth, Rochdale, Lancashire",OL12 8RX,https://find-and-update.company-information.service.gov.uk/company/05793769,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:54+00:00
RICHARDS SIMMONS HEATING LTD,11712768,A_CEILING_HIT,"established 2018, total-exemption-full filer",ltd,corporate subscriber,2018-12-05,total-exemption-full,"accounts category, NOT turnover",43220,"76 Factory Street West, Atherton, Manchester",M46 0EF,https://find-and-update.company-information.service.gov.uk/company/11712768,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:56+00:00
ENDISON VENTILATION LTD,SC515312,A_CEILING_HIT,"established 2015, total-exemption-full filer",ltd,corporate subscriber,2015-09-10,total-exemption-full,"accounts category, NOT turnover",43220,"31 Sighthill Avenue Sighthill Avenue, Edinburgh",EH11 4QT,https://find-and-update.company-information.service.gov.uk/company/SC515312,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:56+00:00
RENEWABLE & ELECTRICAL POWER SYSTEMS LIMITED,SC595869,A_CEILING_HIT,"established 2018, total-exemption-full filer",ltd,corporate subscriber,2018-05-01,total-exemption-full,"accounts category, NOT turnover",43210,"40 Broadlands, Carnoustie, Angus",DD7 6JY,https://find-and-update.company-information.service.gov.uk/company/SC595869,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:00+00:00
CHIVERS PLUMBING & HEATING LIMITED,08189724,A_CEILING_HIT,"established 2012, total-exemption-full filer",ltd,corporate subscriber,2012-08-23,total-exemption-full,"accounts category, NOT turnover",43220,"Unit 6, The Regent Centre Pent Road, Shearway Business Park, Folkestone, Kent",CT19 4FL,https://find-and-update.company-information.service.gov.uk/company/08189724,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:03+00:00
T&T PLUMBING AND HEATING SOLUTIONS LTD,12485127,A_CEILING_HIT,"established 2020, total-exemption-full filer",ltd,corporate subscriber,2020-02-26,total-exemption-full,"accounts category, NOT turnover",43220,"12 Wasdale Avenue, Blackburn",BB1 1XD,https://find-and-update.company-information.service.gov.uk/company/12485127,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:06+00:00
JW ELECTRICS LTD,NI661763,A_CEILING_HIT,"established 2019, unaudited-abridged filer",ltd,corporate subscriber,2019-05-28,unaudited-abridged,"accounts category, NOT turnover",33140; 43210,"6 Dorchester Park, Londonderry",BT47 5NZ,https://find-and-update.company-information.service.gov.uk/company/NI661763,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:12+00:00
SJ CONTRACTS PLUMBING & HEATING LTD,SC555335,A_CEILING_HIT,"established 2017, total-exemption-full filer",ltd,corporate subscriber,2017-01-23,total-exemption-full,"accounts category, NOT turnover",43220,"Gallone & Co, 14 Newton Place, Glasgow",G3 7PY,https://find-and-update.company-information.service.gov.uk/company/SC555335,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:17+00:00
PARKE STONE CONTRACTS LTD,SC555814,A_CEILING_HIT,"established 2017, unaudited-abridged filer",ltd,corporate subscriber,2017-01-27,unaudited-abridged,"accounts category, NOT turnover",43290,"Crask Cottage, Culbokie, Dingwall",IV7 8JS,https://find-and-update.company-information.service.gov.uk/company/SC555814,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:18+00:00
VIP DUCTING LTD,SC544249,A_CEILING_HIT,"established 2016, total-exemption-full filer",ltd,corporate subscriber,2016-08-31,total-exemption-full,"accounts category, NOT turnover",43220,"3 Lauderdale Place, Dundee",DD3 9AU,https://find-and-update.company-information.service.gov.uk/company/SC544249,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:19+00:00
WIRE IN ELECTRICAL SERVICES LIMITED,SC530016,A_CEILING_HIT,"established 2016, total-exemption-full filer",ltd,corporate subscriber,2016-03-17,total-exemption-full,"accounts category, NOT turnover",43210,"69 Nethan Avenue, Wishaw",ML2 0BG,https://find-and-update.company-information.service.gov.uk/company/SC530016,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:22+00:00
D & S KITCHENS LIMITED,05646300,A_CEILING_HIT,"established 2005, total-exemption-full filer",ltd,corporate subscriber,2005-12-06,total-exemption-full,"accounts category, NOT turnover",43290,"794 High Street, Kingswinford, West Midlands",DY6 8BQ,https://find-and-update.company-information.service.gov.uk/company/05646300,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:22+00:00
WHITELAW ELECTRICAL SERVICES LIMITED,SC386356,A_CEILING_HIT,"established 2010, total-exemption-full filer",ltd,corporate subscriber,2010-10-01,total-exemption-full,"accounts category, NOT turnover",43210,"28 Linndale Oval, Castlemilk, Glasgow",G45 9QT,https://find-and-update.company-information.service.gov.uk/company/SC386356,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:24+00:00
ANNIESLAND BUILDERS LIMITED,SC358587,A_CEILING_HIT,"established 2009, unaudited-abridged filer",ltd,corporate subscriber,2009-04-23,unaudited-abridged,"accounts category, NOT turnover",43290,"136 Athelstane Road, Glasgow, Lanarkshire",G13 3QY,https://find-and-update.company-information.service.gov.uk/company/SC358587,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:24+00:00
JAMES MOCHRIE PLUMBING AND HEATING LTD,SC295899,A_CEILING_HIT,"established 2006, total-exemption-full filer",ltd,corporate subscriber,2006-01-20,total-exemption-full,"accounts category, NOT turnover",43220,"Abercorn School, Newton, Broxburn",EH52 6PZ,https://find-and-update.company-information.service.gov.uk/company/SC295899,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:25+00:00
N.W. PLANT HIRE LIMITED,04764044,A_CEILING_HIT,"established 2003, total-exemption-full filer",ltd,corporate subscriber,2003-05-14,total-exemption-full,"accounts category, NOT turnover",43290,"11 Windsor Road, Harrow Weald, Middlesex",HA3 5PT,https://find-and-update.company-information.service.gov.uk/company/04764044,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:28+00:00
APTMS ELECTRICAL LIMITED,SC559245,A_CEILING_HIT,"established 2017, total-exemption-full filer",ltd,corporate subscriber,2017-03-02,total-exemption-full,"accounts category, NOT turnover",43210,"Abt & P Consultancy Service, 56a Culcabock Avenue, Inverness",IV2 3RQ,https://find-and-update.company-information.service.gov.uk/company/SC559245,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:33+00:00
