company_name,company_number,avatar,avatar_reason,company_type,pecr_status,incorporated,accounts_filing_category,size_proxy_note,sic_codes,registered_address,postcode,companies_house_url,email,email_source,lawful_basis,source,retrieved_at
JUPITER INTERIOR FITTING LIMITED,11999390,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-05-16,micro-entity,"accounts category, NOT turnover",43290,"Olive Cottage Jack Lane, Weston, Crewe",CW2 5LE,https://find-and-update.company-information.service.gov.uk/company/11999390,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:31+00:00
ZB KITCHEN & BATHROOM LTD,15720069,B_COMPLIANCE_DROWNED,"young (2024), total-exemption-full filer",ltd,corporate subscriber,2024-05-14,total-exemption-full,"accounts category, NOT turnover",43220; 43290; 43320,"Flat 2 St. Davids Church, Osborne Road, Pontypool",NP4 6NN,https://find-and-update.company-information.service.gov.uk/company/15720069,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:31+00:00
NEIL AUGHTON LIMITED,05880613,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2006-07-19,micro-entity,"accounts category, NOT turnover",43220,"3 Crostons Brow, Marshside, Southport, Merseyside",PR9 9QU,https://find-and-update.company-information.service.gov.uk/company/05880613,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:33+00:00
PROFESSIONAL STOVE INSTALLATIONS LTD,12299333,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-11-05,micro-entity,"accounts category, NOT turnover",43290,"71 Wilton Drive, West Monkseaton, Whitley Bay",NE25 9NX,https://find-and-update.company-information.service.gov.uk/company/12299333,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:34+00:00
FIRST DUCT WORKERS LTD,11391120,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2018-05-31,micro-entity,"accounts category, NOT turnover",43220,"1 Searles Drive, Beckton, London",E6 6NE,https://find-and-update.company-information.service.gov.uk/company/11391120,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:37+00:00
HRH BUILDING CONTRACTORS LTD,11320227,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2018-04-20,micro-entity,"accounts category, NOT turnover",43210; 43220; 43390; 43910,"Unit 10 Newton Road, The Bell Centre, Crawley, West Sussex",RH10 9FZ,https://find-and-update.company-information.service.gov.uk/company/11320227,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:38+00:00
MERSEY ELECTRICAL LTD,11346812,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2018-05-04,micro-entity,"accounts category, NOT turnover",43210,"Suite 304 C/O Venture Finance Management, Suite 304, Cotton Exchange, Liverpool",L3 9LQ,https://find-and-update.company-information.service.gov.uk/company/11346812,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:38+00:00
COLIN SHARPE MECHANICAL SERVICES LIMITED,04313493,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2001-10-30,micro-entity,"accounts category, NOT turnover",43290,"59 Tenter Balk Lane, Adwick-Le-Street, Doncaster, South Yorkshire",DN6 7EE,https://find-and-update.company-information.service.gov.uk/company/04313493,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:39+00:00
HALES (SCOTLAND) LIMITED,SC564792,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2017-05-03,micro-entity,"accounts category, NOT turnover",43210; 43220; 43320; 43330,"2j Second Avenue, Heatherhouse Industrial Estate, Irvine",KA12 8HL,https://find-and-update.company-information.service.gov.uk/company/SC564792,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:40+00:00
MCKINNON ELECTRICAL LTD,SC590091,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2018-02-28,micro-entity,"accounts category, NOT turnover",43210,"24 Great Southern Road, Aberdeen",AB11 7XU,https://find-and-update.company-information.service.gov.uk/company/SC590091,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:40+00:00
ACR HEATING SOLUTIONS LTD,08056115,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2012-05-03,micro-entity,"accounts category, NOT turnover",43220,"White Gables Fosse Way, Hunningham, Leamington Spa, Warwickshire",CV33 9EG,https://find-and-update.company-information.service.gov.uk/company/08056115,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:45+00:00
HARLEY-JAMES ELECTRICAL SERVICES LTD,12402299,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2020-01-14,micro-entity,"accounts category, NOT turnover",43210,"103 Hurst Street, Oxford",OX4 1HE,https://find-and-update.company-information.service.gov.uk/company/12402299,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:45+00:00
AUTO ASSIST PLUS LTD,11700135,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2018-11-27,micro-entity,"accounts category, NOT turnover",43210; 45200; 45320,"52 Alexandra Road, Suite 115, Enfield",EN3 7EH,https://find-and-update.company-information.service.gov.uk/company/11700135,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:47+00:00
S G ELECTRICAL (MANCHESTER) LTD,11982005,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-05-07,micro-entity,"accounts category, NOT turnover",43210,"7 Japan Street, Salford",M7 4HP,https://find-and-update.company-information.service.gov.uk/company/11982005,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:49+00:00
HOLLOWAY BATHROOMS PLUMBING CONTRACTORS LIMITED,11923692,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-04-03,micro-entity,"accounts category, NOT turnover",43220; 46740,"The White House 19 Ash Street, Ash, Guildford, Surrey",GU12 6LD,https://find-and-update.company-information.service.gov.uk/company/11923692,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:49+00:00
INNOX KITCHENS & BATHROOMS LTD,11964971,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-04-26,micro-entity,"accounts category, NOT turnover",43220,"Richard Hall House Bridgnorth Road, Wombourne, Wolverhampton",WV5 0AF,https://find-and-update.company-information.service.gov.uk/company/11964971,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:50+00:00
ND PLUMBING SERVICES LIMITED,11925416,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-04-04,micro-entity,"accounts category, NOT turnover",43220,"48 Firsway, Whitchurch",RG28 7HD,https://find-and-update.company-information.service.gov.uk/company/11925416,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:51+00:00
MGEC NORTH WEST LTD,11790012,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-01-28,micro-entity,"accounts category, NOT turnover",43210,"2 The Courtyard, Greenfields Industrial Estate, Congleton, Cheshire",CW12 4TR,https://find-and-update.company-information.service.gov.uk/company/11790012,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:53+00:00
Z J PROPERTY CARE LTD,11806044,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-02-04,micro-entity,"accounts category, NOT turnover",41100; 41201; 41202; 43290,"54 Howbury Road, London",SE15 3HR,https://find-and-update.company-information.service.gov.uk/company/11806044,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:53+00:00
AG PRO PLUMBING LIMITED,SC810475,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2024-05-14,micro-entity,"accounts category, NOT turnover",43220,"Oakfield House 378 Brandon Street, Motherwell, Lanarkshire",ML1 1XA,https://find-and-update.company-information.service.gov.uk/company/SC810475,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:55+00:00
LONDON GAS INSPECTIONS LIMITED,13921760,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2022-02-17,micro-entity,"accounts category, NOT turnover",43220,"5 Royal Avenue, London",SW3 4QE,https://find-and-update.company-information.service.gov.uk/company/13921760,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:57+00:00
ENDEGO LTD,09818841,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2015-10-12,micro-entity,"accounts category, NOT turnover",43290; 43390,"First Floor, 359 High Street, Stratford, London",E15 4QZ,https://find-and-update.company-information.service.gov.uk/company/09818841,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:58+00:00
CRC RAIL LTD,11321076,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2018-04-20,micro-entity,"accounts category, NOT turnover",42120; 43210,"10 Western Road, Romford, Essex",RM1 3JT,https://find-and-update.company-information.service.gov.uk/company/11321076,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:58+00:00
ENERGY BY NATURE UK LTD,10822298,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2017-06-16,micro-entity,"accounts category, NOT turnover",43220; 46740,"5 Hextall Drive, Ibstock",LE67 6RE,https://find-and-update.company-information.service.gov.uk/company/10822298,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:01+00:00
AJRG ELECTRICAL LIMITED,14690900,B_COMPLIANCE_DROWNED,"young (2023), total-exemption-full filer",ltd,corporate subscriber,2023-02-27,total-exemption-full,"accounts category, NOT turnover",43210,"12 Hatherley Road, Sidcup",DA14 4DT,https://find-and-update.company-information.service.gov.uk/company/14690900,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:02+00:00
PETER MCCLAREY ELECTRICS LIMITED,NI623937,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2014-04-07,micro-entity,"accounts category, NOT turnover",43210,"32 Ardbeg Drive, Coleraine",BT51 3EQ,https://find-and-update.company-information.service.gov.uk/company/NI623937,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:04+00:00
TRANSFORM GROUP LTD,12531811,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2020-03-24,micro-entity,"accounts category, NOT turnover",41100; 43120; 43290; 43320,"69 Atlantic Road, Birmingham",B44 8LW,https://find-and-update.company-information.service.gov.uk/company/12531811,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:07+00:00
C & L ELECTRICAL SOLUTIONS LTD,11699448,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2018-11-27,micro-entity,"accounts category, NOT turnover",43210,"3 Havenside Close, Oldham, Lancashire",OL4 2SY,https://find-and-update.company-information.service.gov.uk/company/11699448,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:09+00:00
