company_name,company_number,avatar,avatar_reason,company_type,pecr_status,incorporated,accounts_filing_category,size_proxy_note,sic_codes,registered_address,postcode,companies_house_url,email,email_source,lawful_basis,source,retrieved_at
GALLOWAY GROUP LTD.,SC036181,C_ENTERPRISE,files full/group/medium accounts,ltd,corporate subscriber,1961-03-08,full,"accounts category, NOT turnover",25990; 43210; 43999,"G1 5 George Square, Glasgow",G2 1DY,https://find-and-update.company-information.service.gov.uk/company/SC036181,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:28+00:00
OPUS BUILDING SERVICES LIMITED,05810674,C_ENTERPRISE,files full/group/medium accounts,ltd,corporate subscriber,2006-05-09,medium,"accounts category, NOT turnover",43210,"Unit 7 Boldon Court, Boldon, Tyne And Wear",NE35 9LZ,https://find-and-update.company-information.service.gov.uk/company/05810674,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:00+00:00
FAITHDEAN SPECIAL WORKS LTD,10180383,C_ENTERPRISE,files full/group/medium accounts,ltd,corporate subscriber,2016-05-14,medium,"accounts category, NOT turnover",43290; 43999,"Unit 12, The Oaks Revenge Road, Lordswood, Chatham, Kent",ME5 8LF,https://find-and-update.company-information.service.gov.uk/company/10180383,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:26:09+00:00
TGM FACADES UK LIMITED,08895442,C_ENTERPRISE,files full/group/medium accounts,ltd,corporate subscriber,2014-02-14,full,"accounts category, NOT turnover",43290,"Zeeta House, 200 Upper Richmond Road, Putney, London",SW15 2SH,https://find-and-update.company-information.service.gov.uk/company/08895442,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:29:04+00:00
ESSEX GROUP HOLDINGS LIMITED,06446815,C_ENTERPRISE,files full/group/medium accounts,ltd,corporate subscriber,2007-12-06,full,"accounts category, NOT turnover",43210,"Viking Business Centre, Danes Road, Romford, Essex",RM7 0HL,https://find-and-update.company-information.service.gov.uk/company/06446815,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:34:10+00:00
BROTHWELL IRVINE LIMITED,03702250,C_ENTERPRISE,files full/group/medium accounts,ltd,corporate subscriber,1999-01-27,medium,"accounts category, NOT turnover",43220,"Moorgate House, King Street, Newton Abbot, Devon",TQ12 2LG,https://find-and-update.company-information.service.gov.uk/company/03702250,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:34:32+00:00
CLEARCASE LIMITED,04982807,C_ENTERPRISE,files full/group/medium accounts,ltd,corporate subscriber,2003-12-02,full,"accounts category, NOT turnover",43290; 43390,"400 Rochdale Road, Oldham, Lancashire",OL1 2LW,https://find-and-update.company-information.service.gov.uk/company/04982807,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:34:44+00:00
DELRON SERVICES LIMITED,01873018,C_ENTERPRISE,files full/group/medium accounts,ltd,corporate subscriber,1984-12-19,full,"accounts category, NOT turnover",43210; 43220; 43999,"8 Viewpoint, Boxley Road Penenden Heath, Maidstone, Kent",ME14 2DZ,https://find-and-update.company-information.service.gov.uk/company/01873018,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:38:24+00:00
ARK FMS PLC,13696556,C_ENTERPRISE,files full/group/medium accounts,plc,corporate subscriber,2021-10-21,full,"accounts category, NOT turnover",43290; 81100,"Unit12 Loughton Business Centre, Langston Road, Loughton, Essex",IG10 3FL,https://find-and-update.company-information.service.gov.uk/company/13696556,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:38:40+00:00
ENVEVO LIMITED,SC619434,C_ENTERPRISE,files full/group/medium accounts,ltd,corporate subscriber,2019-01-28,full,"accounts category, NOT turnover",43210,"New Lanarkshire House, 3 Dove Wynd, Strathclyde Business Park, Glasgow",ML4 3AD,https://find-and-update.company-information.service.gov.uk/company/SC619434,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:42:03+00:00
EQUANS FM LIMITED,00665702,C_ENTERPRISE,files full/group/medium accounts,ltd,corporate subscriber,1960-07-21,full,"accounts category, NOT turnover",35220; 35300; 43220; 81100,"First Floor, Neon Q10 Quorum Business Park, Benton Lane, Newcastle Upon Tyne",NE12 8BU,https://find-and-update.company-information.service.gov.uk/company/00665702,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:42:37+00:00
