company_name,company_number,avatar,avatar_reason,company_type,pecr_status,incorporated,accounts_filing_category,size_proxy_note,sic_codes,registered_address,postcode,companies_house_url,email,email_source,lawful_basis,source,retrieved_at
GALLOWAY GROUP LTD.,SC036181,C_ENTERPRISE,files full/group/medium accounts,ltd,corporate subscriber,1961-03-08,full,"accounts category, NOT turnover",25990; 43210; 43999,"G1 5 George Square, Glasgow",G2 1DY,https://find-and-update.company-information.service.gov.uk/company/SC036181,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:28+00:00
LEADWOOD ENGINEERING LTD,12429234,A_CEILING_HIT,"established 2020, total-exemption-full filer",ltd,corporate subscriber,2020-01-28,total-exemption-full,"accounts category, NOT turnover",43220,"Desai & Co Northside House, Mount Pleasant, Barnet",EN4 9EB,https://find-and-update.company-information.service.gov.uk/company/12429234,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:29+00:00
GAS SMART HEATING & PLUMBING SERVICES LTD,09739023,A_CEILING_HIT,"established 2015, total-exemption-full filer",ltd,corporate subscriber,2015-08-19,total-exemption-full,"accounts category, NOT turnover",43220,"Turnpike House, 1208-1210 London Road, Leigh On Sea, Essex",SS9 2UA,https://find-and-update.company-information.service.gov.uk/company/09739023,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:29+00:00
777 PLUMBING LIMITED,07822646,A_CEILING_HIT,"established 2011, unaudited-abridged filer",ltd,corporate subscriber,2011-10-25,unaudited-abridged,"accounts category, NOT turnover",43220,"1453 High Road, London",N20 9PH,https://find-and-update.company-information.service.gov.uk/company/07822646,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:30+00:00
JUPITER INTERIOR FITTING LIMITED,11999390,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-05-16,micro-entity,"accounts category, NOT turnover",43290,"Olive Cottage Jack Lane, Weston, Crewe",CW2 5LE,https://find-and-update.company-information.service.gov.uk/company/11999390,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:31+00:00
ZB KITCHEN & BATHROOM LTD,15720069,B_COMPLIANCE_DROWNED,"young (2024), total-exemption-full filer",ltd,corporate subscriber,2024-05-14,total-exemption-full,"accounts category, NOT turnover",43220; 43290; 43320,"Flat 2 St. Davids Church, Osborne Road, Pontypool",NP4 6NN,https://find-and-update.company-information.service.gov.uk/company/15720069,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:31+00:00
PROVISION ELECTRIC’S LTD,12098003,A_CEILING_HIT,"established 2019, unaudited-abridged filer",ltd,corporate subscriber,2019-07-11,unaudited-abridged,"accounts category, NOT turnover",43210; 61900,"Blackboys, Roses Lane, Windsor",SL4 4JU,https://find-and-update.company-information.service.gov.uk/company/12098003,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:32+00:00
NEIL AUGHTON LIMITED,05880613,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2006-07-19,micro-entity,"accounts category, NOT turnover",43220,"3 Crostons Brow, Marshside, Southport, Merseyside",PR9 9QU,https://find-and-update.company-information.service.gov.uk/company/05880613,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:33+00:00
REDBURN MECHANICAL SERVICES LTD,08075384,A_CEILING_HIT,"established 2012, total-exemption-full filer",ltd,corporate subscriber,2012-05-18,total-exemption-full,"accounts category, NOT turnover",43220,"24 Pemerton Road, Winchester",SO22 6EU,https://find-and-update.company-information.service.gov.uk/company/08075384,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:33+00:00
PROFESSIONAL STOVE INSTALLATIONS LTD,12299333,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-11-05,micro-entity,"accounts category, NOT turnover",43290,"71 Wilton Drive, West Monkseaton, Whitley Bay",NE25 9NX,https://find-and-update.company-information.service.gov.uk/company/12299333,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:25:34+00:00
